"Timestamp","What rank did you receive after placement matches? "
"2016/06/29 9:29:05 AM EST","49"
"2016/06/29 9:31:08 AM EST","50"
"2016/06/29 9:31:54 AM EST","46"
"2016/06/29 9:31:56 AM EST","Fuck Niggers"
"2016/06/29 9:32:46 AM EST","50"
"2016/06/29 9:34:06 AM EST","52"
"2016/06/29 9:34:21 AM EST","50"
"2016/06/29 9:35:19 AM EST","51"
"2016/06/29 9:35:28 AM EST","44"
"2016/06/29 9:36:13 AM EST","50"
"2016/06/29 9:37:33 AM EST","54"
"2016/06/29 9:37:57 AM EST","57"
"2016/06/29 9:38:18 AM EST","64"
"2016/06/29 9:38:28 AM EST","56"
"2016/06/29 9:39:20 AM EST","49"
"2016/06/29 9:39:33 AM EST","53"
"2016/06/29 9:39:51 AM EST","58"
"2016/06/29 9:43:35 AM EST","48"
"2016/06/29 9:44:06 AM EST","50"
"2016/06/29 9:44:20 AM EST","52"
"2016/06/29 9:44:54 AM EST","50"
"2016/06/29 9:45:23 AM EST","57"
"2016/06/29 9:45:54 AM EST","53"
"2016/06/29 9:46:15 AM EST","53"
"2016/06/29 9:47:25 AM EST","51"
"2016/06/29 9:48:21 AM EST","60"
"2016/06/29 9:49:55 AM EST","40"
"2016/06/29 9:50:46 AM EST","55"
"2016/06/29 9:51:04 AM EST","53"
"2016/06/29 9:52:00 AM EST","50"
"2016/06/29 9:53:01 AM EST","52"
"2016/06/29 9:53:27 AM EST","48"
"2016/06/29 9:53:50 AM EST","45"
"2016/06/29 9:55:45 AM EST","50"
"2016/06/29 9:56:30 AM EST","48"
"2016/06/29 9:57:57 AM EST","51"
"2016/06/29 9:59:25 AM EST","61"
"2016/06/29 10:00:00 AM EST","49"
"2016/06/29 10:00:20 AM EST","42"
"2016/06/29 10:00:45 AM EST","39"
"2016/06/29 10:02:08 AM EST","50"
"2016/06/29 10:02:25 AM EST","48"
"2016/06/29 10:03:57 AM EST","35"
"2016/06/29 10:04:30 AM EST","60"
"2016/06/29 10:05:04 AM EST","54"
"2016/06/29 10:06:08 AM EST","62"
"2016/06/29 10:06:42 AM EST","47"
"2016/06/29 10:06:54 AM EST","56"
"2016/06/29 10:07:04 AM EST","47"
"2016/06/29 10:10:07 AM EST","56"
"2016/06/29 10:10:55 AM EST","56"
"2016/06/29 10:11:46 AM EST","51"
"2016/06/29 10:11:55 AM EST","48"
"2016/06/29 10:12:24 AM EST","60"
"2016/06/29 10:12:45 AM EST","54"
"2016/06/29 10:13:26 AM EST","53"
"2016/06/29 10:13:36 AM EST","49"
"2016/06/29 10:13:48 AM EST","37"
"2016/06/29 10:14:44 AM EST","62"
"2016/06/29 10:14:59 AM EST","51"
"2016/06/29 10:15:50 AM EST","52"
"2016/06/29 10:16:26 AM EST","54"
"2016/06/29 10:16:53 AM EST","53"
"2016/06/29 10:17:10 AM EST","57"
"2016/06/29 10:18:13 AM EST","59"
"2016/06/29 10:18:35 AM EST","51"
"2016/06/29 10:19:10 AM EST","41"
"2016/06/29 10:19:13 AM EST","50"
"2016/06/29 10:20:12 AM EST","48"
"2016/06/29 10:20:39 AM EST","44"
"2016/06/29 10:20:40 AM EST","50"
"2016/06/29 10:20:57 AM EST","46"
"2016/06/29 10:21:00 AM EST","48"
"2016/06/29 10:21:15 AM EST","60"
"2016/06/29 10:22:34 AM EST","54"
"2016/06/29 10:23:07 AM EST","40"
"2016/06/29 10:23:19 AM EST","55"
"2016/06/29 10:23:23 AM EST","46"
"2016/06/29 10:23:43 AM EST","35"
"2016/06/29 10:24:29 AM EST","59"
"2016/06/29 10:24:47 AM EST","42"
"2016/06/29 10:24:54 AM EST","57"
"2016/06/29 10:24:55 AM EST","54"
"2016/06/29 10:25:15 AM EST","51"
"2016/06/29 10:25:22 AM EST","50"
"2016/06/29 10:25:29 AM EST","53"
"2016/06/29 10:26:25 AM EST","100"
"2016/06/29 10:27:01 AM EST","55"
"2016/06/29 10:27:54 AM EST","53"
"2016/06/29 10:28:13 AM EST","50"
"2016/06/29 10:29:01 AM EST","48"
"2016/06/29 10:30:01 AM EST","53"
"2016/06/29 10:31:10 AM EST","59"
"2016/06/29 10:32:24 AM EST","56"
"2016/06/29 10:32:33 AM EST","100"
"2016/06/29 10:32:34 AM EST","50"
"2016/06/29 10:32:48 AM EST","61"
"2016/06/29 10:32:55 AM EST","57"
"2016/06/29 10:33:05 AM EST","41"
"2016/06/29 10:33:34 AM EST","53"
"2016/06/29 10:34:00 AM EST","48"
"2016/06/29 10:34:03 AM EST","50"
"2016/06/29 10:34:44 AM EST","50"
"2016/06/29 10:35:51 AM EST","47"
"2016/06/29 10:36:07 AM EST","34"
"2016/06/29 10:36:15 AM EST","60"
"2016/06/29 10:36:16 AM EST","50"
"2016/06/29 10:36:49 AM EST","60"
"2016/06/29 10:37:00 AM EST","46"
"2016/06/29 10:37:28 AM EST","46"
"2016/06/29 10:37:38 AM EST","52"
"2016/06/29 10:37:54 AM EST","50"
"2016/06/29 10:37:56 AM EST","49"
"2016/06/29 10:38:28 AM EST","53"
"2016/06/29 10:38:33 AM EST","57"
"2016/06/29 10:38:44 AM EST","54"
"2016/06/29 10:38:55 AM EST","57"
"2016/06/29 10:39:22 AM EST","53"
"2016/06/29 10:39:40 AM EST","49"
"2016/06/29 10:39:42 AM EST","56"
"2016/06/29 10:39:51 AM EST","45"
"2016/06/29 10:39:56 AM EST","52"
"2016/06/29 10:40:07 AM EST","55"
"2016/06/29 10:40:18 AM EST","49"
"2016/06/29 10:40:40 AM EST","49"
"2016/06/29 10:41:04 AM EST","51"
"2016/06/29 10:41:14 AM EST","44"
"2016/06/29 10:43:11 AM EST","54"
"2016/06/29 10:43:12 AM EST","55"
"2016/06/29 10:43:24 AM EST","53"
"2016/06/29 10:43:28 AM EST","46"
"2016/06/29 10:43:35 AM EST","42"
"2016/06/29 10:43:43 AM EST","67"
"2016/06/29 10:44:05 AM EST","58"
"2016/06/29 10:44:05 AM EST","57"
"2016/06/29 10:44:14 AM EST","57"
"2016/06/29 10:44:22 AM EST","53"
"2016/06/29 10:44:32 AM EST","58"
"2016/06/29 10:45:10 AM EST","55"
"2016/06/29 10:46:20 AM EST","51"
"2016/06/29 10:47:04 AM EST","53"
"2016/06/29 10:47:23 AM EST","55"
"2016/06/29 10:48:03 AM EST","43"
"2016/06/29 10:48:06 AM EST","48"
"2016/06/29 10:48:26 AM EST","62"
"2016/06/29 10:48:28 AM EST","49"
"2016/06/29 10:48:51 AM EST","46"
"2016/06/29 10:49:07 AM EST","46"
"2016/06/29 10:49:10 AM EST","49"
"2016/06/29 10:49:21 AM EST","60"
"2016/06/29 10:49:36 AM EST","99"
"2016/06/29 10:49:41 AM EST","51"
"2016/06/29 10:49:45 AM EST","54"
"2016/06/29 10:49:55 AM EST","50"
"2016/06/29 10:50:00 AM EST","60"
"2016/06/29 10:50:25 AM EST","48"
"2016/06/29 10:50:41 AM EST","54"
"2016/06/29 10:50:53 AM EST","52"
"2016/06/29 10:51:28 AM EST","745"
"2016/06/29 10:51:29 AM EST","50"
"2016/06/29 10:51:45 AM EST","62"
"2016/06/29 10:51:47 AM EST","53"
"2016/06/29 10:51:57 AM EST","51"
"2016/06/29 10:52:13 AM EST","56"
"2016/06/29 10:52:19 AM EST","47"
"2016/06/29 10:52:31 AM EST","45"
"2016/06/29 10:52:44 AM EST","54"
"2016/06/29 10:53:00 AM EST","54"
"2016/06/29 10:53:15 AM EST","51"
"2016/06/29 10:53:19 AM EST","4484"
"2016/06/29 10:53:22 AM EST","54"
"2016/06/29 10:53:47 AM EST","60"
"2016/06/29 10:53:48 AM EST","60"
"2016/06/29 10:54:06 AM EST","59"
"2016/06/29 10:54:41 AM EST","72"
"2016/06/29 10:54:44 AM EST","49"
"2016/06/29 10:54:47 AM EST","56"
"2016/06/29 10:54:56 AM EST","49"
"2016/06/29 10:55:00 AM EST","52"
"2016/06/29 10:55:02 AM EST","63"
"2016/06/29 10:55:08 AM EST","52"
"2016/06/29 10:55:08 AM EST","50"
"2016/06/29 10:55:18 AM EST","52"
"2016/06/29 10:55:21 AM EST","48"
"2016/06/29 10:55:35 AM EST","49"
"2016/06/29 10:55:37 AM EST","62"
"2016/06/29 10:55:44 AM EST","60"
"2016/06/29 10:55:45 AM EST","48"
"2016/06/29 10:55:48 AM EST","55"
"2016/06/29 10:56:01 AM EST","54"
"2016/06/29 10:56:06 AM EST","56"
"2016/06/29 10:56:09 AM EST","55"
"2016/06/29 10:56:23 AM EST","48"
"2016/06/29 10:56:25 AM EST","50"
"2016/06/29 10:56:32 AM EST","55"
"2016/06/29 10:56:35 AM EST","50"
"2016/06/29 10:56:45 AM EST","57"
"2016/06/29 10:56:57 AM EST","50"
"2016/06/29 10:57:10 AM EST","56"
"2016/06/29 10:57:18 AM EST","51"
"2016/06/29 10:57:18 AM EST","43"
"2016/06/29 10:57:19 AM EST","65"
"2016/06/29 10:57:38 AM EST","48"
"2016/06/29 10:57:58 AM EST","53"
"2016/06/29 10:58:19 AM EST","51"
"2016/06/29 10:58:25 AM EST","60"
